CaseID,Status_Notes,Responsible_Agency,Category,Request_Type,Request_Details
241459,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaging_Property",Lifted_sidewalk_tree_roots
241538,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaged_Tree",Hanging_limb
241571,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Overgrown_Tree",Blocking_street_lights
241909,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Landscaping",Sprinkler_system_issues
241917,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
241941,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaging_Property",Lifted_sidewalk_tree_roots
243749,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Overgrown_Tree",Near_communication_line
244451,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaged_Tree",About_to_fall
244958,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Overgrown_Tree",Near_communication_line
245061,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Overgrown_Tree",Near_communication_line
245132,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Landscaping",Weeding
245369,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Overgrown_Tree",Blocking_signs
245558,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaged_Tree",Dead_tree
245821,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Tree_Other",Other
245822,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Tree_Other",Other
245952,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Landscaping",Weeding
246079,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Tree_Other",Other
246218,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaged_Tree",Dead_tree
246299,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Tree_Other",Other
246589,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaging_Property",Lifted_sidewalk_tree_roots
247330,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaging_Property",Property_damage
247430,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaged_Tree",Dead_tree
247431,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Tree_Other",Other
247447,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaging_Property",Property_damage
247795,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Landscaping",Weeding
247796,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Overgrown_Tree",Blocking_sidewalk
247883,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Tree_Other",Other
248340,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaged_Tree",Other_enter_additional_details_below
248618,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaged_Tree",Fallen_tree
249371,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Overgrown_Tree",Pruning_request
249530,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Overgrown_Tree",Pruning_request
249546,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaging_Property",Sewer_damage_tree_roots
249805,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Overgrown_Tree",Pruning_request
250044,NULL,"DPW BSM Queue","Tree Maintenance","Trees - Damaging_Property",Lifted_sidewalk_tree_roots
250731,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaged_Tree",Hanging_limb
250988,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Overgrown_Tree",Other_enter_additional_details_below
251977,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Overgrown_Tree",Near_communication_line
252102,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaging_Property",Lifted_sidewalk_tree_roots
252398,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Overgrown_Tree",Pruning_request
252494,NULL,"zzDPW Work Queue - DO NOT USE","Sewer Issues",Flooding,On_street
252628,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Overgrown_Tree",Blocking_street_lights
252682,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaging_Property",Lifted_sidewalk_tree_roots
252762,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Overgrown_Tree",Blocking_signs
252958,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Tree_Other",Other
253681,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Overgrown_Tree",Pruning_request
253774,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Overgrown_Tree",Pruning_request
254047,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Overgrown_Tree",Pruning_request
254054,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaged_Tree",Dead_tree
254187,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaged_Tree",Other_enter_additional_details_below
254309,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Overgrown_Tree",Blocking_signs
255101,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Tree_Other",Other
255393,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Overgrown_Tree",Pruning_request
255396,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaging_Property",Lifted_sidewalk_tree_roots
255708,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Landscaping",Weeding
256006,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Landscaping",Shrubbery_blocking_visibility
256427,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Tree_Other",Other
256442,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaged_Tree",Other_enter_additional_details_below
257215,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaged_Tree",About_to_fall
257567,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaged_Tree",Fallen_tree
257990,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Overgrown_Tree",Other_enter_additional_details_below
258262,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaged_Tree",Hanging_limb
258481,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Overgrown_Tree",Pruning_request
258847,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Overgrown_Tree",Blocking_sidewalk
259025,NULL,"Real Estate Department - G","General Request - REAL ESTATE DEPARTMENT",request_for_service,"real_estate_department - request_for_service"
259141,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Landscaping",Remove_tree_suckers
259931,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaging_Property",Lifted_sidewalk_tree_roots
