CaseID,Status_Notes,Responsible_Agency,Category,Request_Type,Request_Details
342467,""This is a water main break"," not RPD.  SFFD on scene. "","RPD NSA Queue","Rec and Park Requests","Park - Neighborhood_Services_Area"
342392,"Submitted online Shelter Maintenance request ","311 Service Request Queue","311 External Request",Graffiti,NULL
342295,"ENTER SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for Annuzzi Concrete","Annuzzi Concrete"
342294,"ENTER SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for Annuzzi Concrete","Annuzzi Concrete"
342254,NULL,"311 Supervisor Queue",Graffiti,"Graffiti on Signal_box","Signal_box - Offensive"
928326,393004,"SSP - MTA Feedback Queue","MUNI Feedback","MUNI  - Services_Service_Planning",701_Insufficient_Frequency
335643,NULL,"DPT Color Curb Queue","Color Curb","Red Color Curb Request","DPT Color Curb"
342168,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
342159,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Electronics
342139,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Mattress
342094,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Overgrown_Tree",Pruning_request
342086,NULL,"DPW - Other - G","General Request - PUBLIC WORKS",request_for_service,"dpw_other - request_for_service"
342063,NULL,"DPW - Other - G","General Request - PUBLIC WORKS",request_for_service,"dpw_other - request_for_service"
342055,NULL,"DPW - Bureau of Street Environmental Services - G","General Request - PUBLIC WORKS",request_for_service,"bses - request_for_service"
342039,"ENTERED IN SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for PG&E",PG&E
342021,"ENTERED IN SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for PG&E ","PG&E "
342008,"ENTERED IN SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for SF Water Dept","SF Water Dept"
342004,NULL,"DPW BSSR Queue","Street Defects",Pavement_Defect,Pavement_Defect
342003,"ENTERED IN SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for SF Water Dept","SF Water Dept"
341982,NULL,"DPW - Bureau of Street Environmental Services - G","General Request - PUBLIC WORKS",customer_callback,"bses - customer_callback"
341963,NULL,"PUC - Electric/Power - G","General Request - PUC",request_for_service,"electric - request_for_service"
341951,"ENTER SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for PG&E",PG&E
341949,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341926,"ENTER SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for M Squared Construction","M Squared Construction"
341924,"ENTER SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for M Squared Construction","M Squared Construction"
341922,"Sent over to Clear Channel ","311 Service Request Queue","311 External Request",Damaged_Property,NULL
341920,"ENTER SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for PG&E",PG&E
341917,"ENTERED IN SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for PG&E",PG&E
341874,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Sidewalk_structure","Sidewalk_structure - Not_Offensive"
341855,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Hazardous Materials",Glass
341838,"duplicate ","311 Supervisor Queue","Sewer Issues",Water_Main_Break,NA
341834,"INVALID PER AGNET ","DPT SignShop Repair Queue","Sign Repair","Sign Repair - Not_Visible","Other - Not_Visible; support - Other"
341831,"Called Water to confirm Request was recieved. Request sent directly to Water. ","311 Supervisor Queue","Sewer Issues",Water_Main_Break,NA
341825,NULL,"DPW - Bureau of Street Environmental Services - G","General Request - PUBLIC WORKS",complaint,"bses - complaint"
341804,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341783,"Request sent to Clear Channel ","311 Service Request Queue","311 External Request",Graffiti,NULL
341750,"Invalid Request.  Conflicting Location Description Information.  ","311 Service Request Queue","311 External Request",Graffiti,NULL
341749,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341742,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341737,NULL,"DPW - Bureau of Street Environmental Services - G","General Request - PUBLIC WORKS",request_for_service,"bses - request_for_service"
341730,"Left message on voicemail ","Treasurer/Tax Collector - G","General Request - TT COLLECTOR",other,"tt_collector - other"
341718,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341716,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning",Overflowing_City_Receptacle_or_Dumpster,Overflowing_City_Receptacle_or_Dumpster
340525,"Per CSR request - cancel. ","DPT Color Curb Queue","Color Curb","Red Color Curb Request","DPT Color Curb"
341712,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341710,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Mattress
341702,NULL,"311 Supervisor Queue","Sewer Issues",Sewage_Back_Up,Out_of_catch_basin
341688,"Duplicate per DPW ","311 Supervisor Queue",Graffiti,"Graffiti on Pole","Pole - Offensive"
341687,NULL,"DPW Ops Queue","Homeless Concerns","Medical Waste",Needles
341681,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Mattress
341680,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341666,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341665,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Hazardous Materials",Glass
341634,NULL,"DPW Ops Queue",Encampments,"Encampment Reports","Encampment Cleanup"
780351,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341624,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341623,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341622,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning",Automotive,Tires
341621,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341620,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341619,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341618,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Electronics
341617,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341615,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Electronics
341609,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
782618,NULL,"DPW Ops Queue",Encampments,"Encampment Reports","Encampment Cleanup"
341597,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341595,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Refrigerator
341590,"Incorrect form used. ","311 Service Request Queue","311 External Request",Graffiti,NULL
341587,""He already has homeowners exemptions I talk to him","case closed. "","Assessor - Admin","General Request - ASSESSOR RECORDER",mailing_request
341584,NULL,"DPW BSSR Queue","General Request - PUBLIC WORKS",compliment,"bssr - compliment"
341582,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341578,NULL,"DPW Ops Queue","Tree Maintenance","Trees - Damaged_Tree",Fallen_tree
341569,"ENTER SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for PG & E","PG & E"
341568,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Mattress
341565,"ENTER SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for PG & E","PG & E"
341561,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341559,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning",Missed_Route_Mechanical_Sweeping,Missed_Route_Mechanical_Sweeping
341555,NULL,"DPW Ops Queue","Catch Basin Maintenance",Maintenance,Maintenance
341554,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
341551,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Building_commercial","Building_commercial - Post_Abatement_Inspection"
341550,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341548,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
341547,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341546,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341542,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","Bulky Items",Furniture
341538,"ENTER SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for MUNI RAIL WAY","MUNI RAIL WAY"
341537,NULL,"DPW Ops Queue",Graffiti,"Graffiti on Building_residential","Building_residential - Post_Abatement_Inspection"
341536,"enter sc ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for DPW (Dept of Public Works)","DPW (Dept of Public Works)"
341531,"Case assigned to code enforcement of EHS. 252-3805 ","DPH - Environmental Health - G","General Request - DPH",request_for_service,"environmental_health - request_for_service"
341519,NULL,"DPW Ops Queue",Encampments,"Encampment items","Cart Pickup"
341518,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341514,"ENTERED IN SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for Muni - Overhead Lines","Muni - Overhead Lines"
341513,"ENTERED IN SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for DPW (Dept of Public Works)","DPW (Dept of Public Works)"
341510,"mailed bc application ","DPH - Office of Vital Records - G","General Request - DPH",mailing_request,"ovr - mailing_request"
341507,"ENTERED IN SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for DPW (Dept of Public Works)","DPW (Dept of Public Works)"
341503,"ENTERED IN SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for DPW (Dept of Public Works)","DPW (Dept of Public Works)"
341501,NULL,"DPW - Bureau of Street Environmental Services - G","General Request - PUBLIC WORKS",request_for_service,"bses - request_for_service"
341500,"mailed dc applications ","DPH - Office of Vital Records - G","General Request - DPH",request_for_service,"ovr - request_for_service"
341492,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
341490,NULL,"311 Supervisor Queue","Sewer Issues",Flooding,On_street
341481,"ENTER SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for P G & E","P G & E"
340490,NULL,"DPW Ops Queue",Encampments,"Encampment items","Cart Pickup"
341479,"ENTERED IN SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for SHAW PIPE LINE INC.","SHAW PIPE LINE INC."
341478,""Per BSM Private Tree"," BSM to Enforce "","311 Supervisor Queue","Tree Maintenance","Trees - Landscaping"
341475,"Left message on voicemail ","Treasurer/Tax Collector - G","General Request - ASSESSOR RECORDER",customer_callback,"assessor - customer_callback"
341473,"ENTERED IN SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for SHAW PIPE LINE INC.","SHAW PIPE LINE INC."
341470,"ENTERED IN SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for Municipal Transportation Agency (MTA)","Municipal Transportation Agency (MTA)"
341469,"ENTERED IN SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for SHAW PIPE LINE INC.","SHAW PIPE LINE INC."
341465,"ENTERED IN SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for PUC Water Dept","PUC Water Dept"
341458,"ENTER SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for PG&E",PG&E
341457,"gave information needed on deceased ","DPH - Office of Vital Records - G","General Request - DPH",customer_callback,"ovr - customer_callback"
341456,"ENTER SC ","DPT Construction Zone Permits Queue","Construction Zone Permits","Construction Zone Tow-away Permits for PG&E",PG&E
341455,NULL,"DPW Ops Queue","Street and Sidewalk Cleaning","General Cleaning","Other Loose Garbage"
