"CaseID";"Opened";"Closed";"Updated";"Status";"Status_Notes";"Responsible_Agency";"Category";"Request_Type";"Request_Details";"Address";"Supervisor_District";"Neighborhood";"Police_District";"Latitude";"Longitude";"Point";"Source";"Media_URL";"case_open_date";"case_close_date"
241459.0;"07/02/2008 03:16:55 PM";"07/12/2010 10:16:59 AM";"07/12/2010 10:16:59 AM";"Closed";"NULL";"DPW Ops Queue";"Tree Maintenance";"Trees - Damaging_Property";"Lifted_sidewalk_tree_roots";"Intersection of RETIRO WAY and RICO WAY";2.0;"Marina";"NORTHERN";37.80493;-122.4381;"""(37.8049295544814";" -122.438141782293)""";"Phone";"2008-07-02";"2010-07-12"
241538.0;"07/02/2008 04:47:08 PM";"06/25/2010 11:16:56 AM";"06/25/2010 11:16:56 AM";"Closed";"NULL";"DPW Ops Queue";"Tree Maintenance";"Trees - Damaged_Tree";"Hanging_limb";"Intersection of ELLIS ST and WEBSTER ST";5.0;"Western Addition";"NORTHERN";37.78257;-122.4308;"""(37.7825698284387";" -122.430797788991)""";"Phone";"2008-07-02";"2010-06-25"
241571.0;"07/02/2008 05:54:07 PM";"10/21/2010 12:09:32 PM";"10/21/2010 12:09:32 PM";"Closed";"NULL";"DPW Ops Queue";"Tree Maintenance";"Trees - Overgrown_Tree";"Blocking_street_lights";"""4228 GEARY BLVD";0.0;" CA";" 94118""";1.0;0.0;"RICHMOND";"37.7812";"-122.465";"2008-07-02";"2010-10-21"
241909.0;"07/03/2008 12:38:04 PM";"06/25/2010 11:16:56 AM";"06/25/2010 11:16:56 AM";"Closed";"NULL";"DPW Ops Queue";"Tree Maintenance";"Trees - Landscaping";"Sprinkler_system_issues";"Intersection of 29TH ST and DOLORES ST";8.0;"Noe Valley";"INGLESIDE";37.74384;-122.4244;"""(37.743838109851";" -122.424384904295)""";"Phone";"2008-07-03";"2010-06-25"
241917.0;"07/03/2008 12:44:26 PM";"07/06/2010 06:16:58 PM";"07/06/2010 06:16:58 PM";"Closed";"NULL";"DPW Ops Queue";"Street and Sidewalk Cleaning";"General Cleaning";"Other Loose Garbage";"Intersection of BRANNAN ST and DELANCEY ST";6.0;"South Beach";"SOUTHERN";37.78361;-122.3898;"""(37.7836091422541";" -122.389846394555)""";"Phone";"2008-07-03";"2010-07-06"
241941.0;"07/03/2008 01:24:07 PM";"08/16/2010 03:19:05 PM";"08/16/2010 03:19:05 PM";"Closed";"NULL";"DPW Ops Queue";"Tree Maintenance";"Trees - Damaging_Property";"Lifted_sidewalk_tree_roots";"""1901 SUTTER ST";0.0;" CA";" 94115""";5.0;0.0;"NORTHERN";"37.78574";"-122.4323";"2008-07-03";"2010-08-16"
243749.0;"07/07/2008 03:14:07 PM";"07/06/2010 03:16:57 PM";"07/06/2010 03:16:57 PM";"Closed";"NULL";"DPW Ops Queue";"Tree Maintenance";"Trees - Overgrown_Tree";"Near_communication_line";"""2043 PALOU AVE";0.0;" CA";" 94124""";10.0;0.0;"BAYVIEW";"37.73855";"-122.3993";"2008-07-07";"2010-07-06"
244451.0;"07/08/2008 06:25:18 PM";"06/25/2010 11:16:56 AM";"06/25/2010 11:16:56 AM";"Closed";"NULL";"DPW Ops Queue";"Tree Maintenance";"Trees - Damaged_Tree";"About_to_fall";"""246 2ND ST";0.0;" CA";" 94105""";6.0;0.0;"SOUTHERN";"37.7858";"-122.3973";"2008-07-08";"2010-06-25"
244958.0;"07/09/2008 02:57:52 PM";"07/30/2010 03:17:03 PM";"07/30/2010 03:17:03 PM";"Closed";"NULL";"DPW Ops Queue";"Tree Maintenance";"Trees - Overgrown_Tree";"Near_communication_line";"Intersection of 6TH AVE and CALIFORNIA ST";1.0;"Presidio Terrace";"RICHMOND";37.78499;-122.4646;"""(37.7849939445843";" -122.46457222897)""";"Phone";"2008-07-09";"2010-07-30"
245061.0;"07/09/2008 04:57:24 PM";"07/08/2010 08:16:58 AM";"07/08/2010 08:16:58 AM";"Closed";"NULL";"DPW Ops Queue";"Tree Maintenance";"Trees - Overgrown_Tree";"Near_communication_line";"Intersection of ORD CT and VULCAN STWY";8.0;"Corona Heights";"PARK";37.76349;-122.4403;"""(37.763493222463";" -122.44028518865)""";"Phone";"2008-07-09";"2010-07-08"
342467.0;"12/31/2008 10:14:42 PM";"12/31/2008 10:58:10 PM";"12/31/2008 10:58:10 PM";"Closed";"""This is a water main break";" not RPD.  SFFD on scene. """;"RPD NSA Queue";"Rec and Park Requests";"Park - Neighborhood_Services_Area";"Irrigation";0.0;" SAN FRANCISCO";" CA";0.0;8.0;"Buena Vista";"PARK";"37.76856";"2008-12-31";"2008-12-31"
245132.0;"07/09/2008 07:29:31 PM";"06/25/2010 11:16:57 AM";"06/25/2010 11:16:57 AM";"Closed";"NULL";"DPW Ops Queue";"Tree Maintenance";"Trees - Landscaping";"Weeding";"Intersection of 24TH AVE and CABRILLO ST";1.0;"Outer Richmond";"RICHMOND";37.77449;-122.4833;"""(37.7744855693553";" -122.483254740269)""";"Phone";"2008-07-09";"2010-06-25"
245369.0;"07/10/2008 10:22:27 AM";"07/08/2010 10:16:58 AM";"07/08/2010 10:16:58 AM";"Closed";"NULL";"DPW Ops Queue";"Tree Maintenance";"Trees - Overgrown_Tree";"Blocking_signs";"""3126 22ND ST";0.0;" CA";" 94110""";9.0;0.0;"MISSION";"37.75562";"-122.4173";"2008-07-10";"2010-07-08"
245558.0;"07/10/2008 02:04:47 PM";"07/08/2010 08:16:59 AM";"07/08/2010 08:16:59 AM";"Closed";"NULL";"DPW Ops Queue";"Tree Maintenance";"Trees - Damaged_Tree";"Dead_tree";"""126 GOLD MINE DR";0.0;" CA";" 94131""";8.0;0.0;"INGLESIDE";"37.74271";"-122.4384";"2008-07-10";"2010-07-08"
245821.0;"07/11/2008 07:35:24 AM";"07/08/2010 10:16:59 AM";"07/08/2010 10:16:59 AM";"Closed";"NULL";"DPW Ops Queue";"Tree Maintenance";"Trees - Tree_Other";"Other";"Intersection of 20TH ST and CASTRO ST";8.0;"Eureka Valley";"MISSION";37.75769;-122.4347;"""(37.7576865820995";" -122.434697705159)""";"Phone";"2008-07-11";"2010-07-08"
245822.0;"07/11/2008 07:39:28 AM";"07/30/2010 04:17:03 PM";"07/30/2010 04:17:03 PM";"Closed";"NULL";"DPW Ops Queue";"Tree Maintenance";"Trees - Tree_Other";"Other";"""198 CARL ST";0.0;" CA";" 94117""";5.0;0.0;"PARK";"37.76561";"-122.4525";"2008-07-11";"2010-07-30"
245952.0;"07/11/2008 10:22:08 AM";"06/25/2010 11:16:57 AM";"06/25/2010 11:16:57 AM";"Closed";"NULL";"DPW Ops Queue";"Tree Maintenance";"Trees - Landscaping";"Weeding";"""15 ROTTECK ST";0.0;" CA";" 94112""";8.0;0.0;"INGLESIDE";"37.73279";"-122.4309";"2008-07-11";"2010-06-25"
246079.0;"07/11/2008 11:57:23 AM";"06/25/2010 11:16:57 AM";"06/25/2010 11:16:57 AM";"Closed";"NULL";"DPW Ops Queue";"Tree Maintenance";"Trees - Tree_Other";"Other";"Intersection of BALBOA ST and LA PLAYA";1.0;"Outer Richmond";"RICHMOND";37.77513;-122.5102;"""(37.7751273881736";" -122.510168786994)""";"Phone";"2008-07-11";"2010-06-25"
342392.0;"12/31/2008 05:40:23 PM";"12/31/2008 06:47:20 PM";"12/31/2008 06:47:20 PM";"Closed";"Submitted online Shelter Maintenance request ";"311 Service Request Queue";"311 External Request";"Graffiti";"NULL";"Intersection of 16TH ST and VALENCIA ST";8.0;"Mission";"MISSION";37.76492;-122.4219;"""(37.7649173279987";" -122.421886343791)""";"Phone";"2008-12-31";"2008-12-31"
246218.0;"07/11/2008 02:36:58 PM";"07/08/2010 10:16:59 AM";"07/08/2010 10:16:59 AM";"Closed";"NULL";"DPW Ops Queue";"Tree Maintenance";"Trees - Damaged_Tree";"Dead_tree";"Intersection of MISSION ST and PARK ST";8.0;"Holly Park";"INGLESIDE";37.73674;-122.4242;"""(37.7367375342155";" -122.424234923488)""";"Phone";"2008-07-11";"2010-07-08"
246299.0;"07/11/2008 03:56:19 PM";"07/14/2010 03:16:59 PM";"07/14/2010 03:16:59 PM";"Closed";"NULL";"DPW Ops Queue";"Tree Maintenance";"Trees - Tree_Other";"Other";"Intersection of DRUMM ST and MARKET ST";3.0;"Financial District";"CENTRAL";37.79325;-122.3963;"""(37.7932564184552";" -122.396301875127)""";"Phone";"2008-07-11";"2010-07-14"
246589.0;"07/12/2008 12:39:26 PM";"08/16/2010 04:19:06 PM";"08/16/2010 04:19:06 PM";"Closed";"NULL";"DPW Ops Queue";"Tree Maintenance";"Trees - Damaging_Property";"Lifted_sidewalk_tree_roots";"Intersection of COLE ST and HAIGHT ST";5.0;"Haight Ashbury";"PARK";37.76953;-122.4507;"""(37.769525932985";" -122.450710257811)""";"Phone";"2008-07-12";"2010-08-16"
247330.0;"07/14/2008 12:13:35 PM";"07/08/2010 10:16:59 AM";"07/08/2010 10:16:59 AM";"Closed";"NULL";"DPW Ops Queue";"Tree Maintenance";"Trees - Damaging_Property";"Property_damage";"Intersection of CHENERY ST and DIAMOND ST";8.0;"Glen Park";"INGLESIDE";37.73451;-122.4339;"""(37.7345078914292";" -122.433879127065)""";"Phone";"2008-07-14";"2010-07-08"
247430.0;"07/14/2008 01:57:48 PM";"06/25/2010 11:16:58 AM";"06/25/2010 11:16:58 AM";"Closed";"NULL";"DPW Ops Queue";"Tree Maintenance";"Trees - Damaged_Tree";"Dead_tree";"Intersection of SAN BRUNO AVE and SILVER AVE";9.0;"Portola";"BAYVIEW";37.73244;-122.4056;"""(37.7324386213429";" -122.405607495398)""";"Phone";"2008-07-14";"2010-06-25"
247431.0;"07/14/2008 01:58:25 PM";"12/20/2010 10:04:23 AM";"12/20/2010 10:04:23 AM";"Closed";"NULL";"DPW Ops Queue";"Tree Maintenance";"Trees - Tree_Other";"Other";"Intersection of 41ST AVE and ORTEGA ST";4.0;"Outer Sunset";"TARAVAL";37.75134;-122.4999;"""(37.7513336532408";" -122.499914472901)""";"Phone";"2008-07-14";"2010-12-20"
247447.0;"07/14/2008 02:28:30 PM";"10/21/2010 10:09:33 AM";"10/21/2010 10:09:33 AM";"Closed";"NULL";"DPW Ops Queue";"Tree Maintenance";"Trees - Damaging_Property";"Property_damage";"""276 COTTER ST";0.0;" CA";" 94112""";11.0;0.0;"INGLESIDE";"37.73011";"-122.4372";"2008-07-14";"2010-10-21"
247795.0;"07/15/2008 09:35:28 AM";"06/25/2010 11:16:58 AM";"06/25/2010 11:16:58 AM";"Closed";"NULL";"DPW Ops Queue";"Tree Maintenance";"Trees - Landscaping";"Weeding";"Intersection of TERESITA BLVD and VERNA ST";7.0;"Miraloma Park";"INGLESIDE";37.73428;-122.4483;"""(37.7342796785701";" -122.448331316211)""";"Phone";"2008-07-15";"2010-06-25"
247796.0;"07/15/2008 09:36:28 AM";"10/15/2010 09:09:34 AM";"10/15/2010 09:09:34 AM";"Closed";"NULL";"DPW Ops Queue";"Tree Maintenance";"Trees - Overgrown_Tree";"Blocking_sidewalk";"""240 2ND ST";0.0;" CA";" 94105""";6.0;0.0;"SOUTHERN";"37.78607";"-122.3976";"2008-07-15";"2010-10-15"
247883.0;"07/15/2008 11:24:52 AM";"06/25/2010 11:16:58 AM";"06/25/2010 11:16:58 AM";"Closed";"NULL";"DPW Ops Queue";"Tree Maintenance";"Trees - Tree_Other";"Other";"""2099 LAKE ST";0.0;" CA";" 94121""";1.0;0.0;"RICHMOND";"37.78576";"-122.4817";"2008-07-15";"2010-06-25"
248340.0;"07/16/2008 05:32:49 AM";"07/06/2010 05:16:59 PM";"07/06/2010 05:16:59 PM";"Closed";"NULL";"DPW Ops Queue";"Tree Maintenance";"Trees - Damaged_Tree";"Other_enter_additional_details_below";"Intersection of BAY SHORE BLVD and LELAND AVE";10.0;"Visitacion Valley";"INGLESIDE";37.71119;-122.4036;"""(37.7111886929544";" -122.403649947475)""";"Phone";"2008-07-16";"2010-07-06"
342295.0;"12/31/2008 03:18:31 PM";"12/31/2008 04:02:07 PM";"12/31/2008 04:02:07 PM";"Closed";"ENTER SC ";"DPT Construction Zone Permits Queue";"Construction Zone Permits";"Construction Zone Tow-away Permits for Annuzzi Concrete";"Annuzzi Concrete";"Not associated with a specific address";0.0;" ";" ";0.0;0.0;"NULL";"Phone";"";"2008-12-31";"2008-12-31"
342294.0;"12/31/2008 03:16:23 PM";"12/31/2008 03:58:46 PM";"12/31/2008 03:58:46 PM";"Closed";"ENTER SC ";"DPT Construction Zone Permits Queue";"Construction Zone Permits";"Construction Zone Tow-away Permits for Annuzzi Concrete";"Annuzzi Concrete";"Not associated with a specific address";0.0;" ";" ";0.0;0.0;"NULL";"Phone";"";"2008-12-31";"2008-12-31"
248618.0;"07/16/2008 11:13:40 AM";"07/30/2010 04:17:03 PM";"07/30/2010 04:17:03 PM";"Closed";"NULL";"DPW Ops Queue";"Tree Maintenance";"Trees - Damaged_Tree";"Fallen_tree";"Intersection of DIVISADERO ST and EDDY ST";5.0;"Western Addition";"NORTHERN";37.78059;-122.4389;"""(37.7805885619837";" -122.438926930121)""";"Phone";"2008-07-16";"2010-07-30"
249371.0;"07/17/2008 01:11:23 PM";"10/28/2010 03:09:31 PM";"10/28/2010 03:09:31 PM";"Closed";"NULL";"DPW Ops Queue";"Tree Maintenance";"Trees - Overgrown_Tree";"Pruning_request";"""1234 INDIANA ST";0.0;" CA";" 94107""";10.0;0.0;"BAYVIEW";"37.75477";"-122.391";"2008-07-17";"2010-10-28"
249530.0;"07/17/2008 03:56:12 PM";"12/18/2010 04:09:22 PM";"12/18/2010 04:09:22 PM";"Closed";"NULL";"DPW Ops Queue";"Tree Maintenance";"Trees - Overgrown_Tree";"Pruning_request";"Intersection of 16TH ST and CHURCH ST";8.0;"Mission Dolores";"MISSION";37.76451;-122.4287;"""(37.7645074655626";" -122.428664987734)""";"Phone";"2008-07-17";"2010-12-18"
342254.0;"12/31/2008 02:25:49 PM";"12/31/2008 04:40:16 PM";"12/31/2008 04:40:16 PM";"Closed";"NULL";"311 Supervisor Queue";"Graffiti";"Graffiti on Signal_box";"Signal_box - Offensive";"Intersection of CALIFORNIA ST and LAUREL ST";2.0;"Presidio Heights";"RICHMOND";37.78684;-122.4501;"""(37.7868375587946";" -122.450118324135)""";"Web";"2008-12-31";"2008-12-31"
